t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
47;53;1,016241797;0,076602108;0,871645903;0,893609559;0,963579257;1,014317746;1,066807159;1,145437335;1,171771129
48;54;0,892690707;0,071702643;0,757687952;0,778114179;0,843338919;0,890771678;0,939950828;1,013813429;1,038598256
49;55;0,892317027;0,071672628;0,757370784;0,777788461;0,842985898;0,890398801;0,939557365;1,013389048;1,038163499
50;56;0,900162194;0,072302767;0,764029517;0,784626704;0,85039735;0,898227103;0,947817865;1,022298669;1,047290935
51;57;1,041841256;0,07853174;0,893602944;0,916119872;0,98785213;1,039868738;1,093680376;1,174291271;1,201288422
52;58;1,136832091;0,082912002;0,980128531;1,003977291;1,079864712;1,134817067;1,191603114;1,276560499;1,304986089
53;59;1,140692898;0,083415726;0,983053076;1,007040644;1,083376762;1,138660223;1,195793439;1,281278976;1,309883463
54;60;1,127218927;0,082430412;0,971441161;0,995145386;1,070579815;1,125210262;1,181668616;1,266144389;1,294410997
55;61;1,129549966;0,081518247;0,975420151;0,998891327;1,073550399;1,127589548;1,183412691;1,266895941;1,294819939
56;62;1,146576297;0,081075187;0,993169449;1,016557337;1,090900472;1,144665903;1,200169796;1,283111943;1,310839065
57;63;1,119259476;0,079143597;0,969507498;0,992338177;1,06491011;1,117394597;1,171576126;1,252542203;1,279608735
58;64;0,988881241;0,073502964;0,850060481;0,871164386;0,938361871;0,987060694;1,037416242;1,112808317;1,138047294
59;65;0,903225645;0,069478896;0,772180053;0,792061133;0,85544271;0,901444761;0,949067461;1,020465093;1,044391095
60;66;0,910008374;0,069387488;0,779089735;0,798962155;0,862295907;0,908245401;0,955799241;1,02706843;1,050945107
61;67;0,916791189;0,069904673;0,784896738;0,804917278;0,868723093;0,915015075;0,962923361;1,03472376;1,058778404
62;68;0,846786135;0,06779715;0,719119682;0,738439873;0,800125263;0,844977452;0,891475612;0,961302178;0,984730351
63;69;0,847905099;0,068549064;0,718874865;0,738389306;0,800718072;0,846058529;0,893079441;0,963719919;0,987428373
64;70;0,897719301;0,071418713;0,763197875;0,783563684;0,84857179;0,89582609;0,94480328;1,018333035;1,042998823
65;71;0,918965184;0,073341406;0,780840305;0,801747452;0,86849155;0,917014828;0,967313002;1,042835969;1,068172878
66;72;0,968873826;0,076357954;0,824993714;0,846789269;0,916336537;0,966868616;1,019225502;1,097798548;1,124148485
67;73;0,977222034;0,077498748;0,831229601;0,85333646;0,92389363;0,975174116;1,028318279;1,108093463;1,134851691
68;74;0,989979096;0,078510449;0,842080816;0,864476268;0,93595452;0,987904443;1,041742372;1,122558975;1,149666515
69;75;1,053117401;0,081249771;0,899888577;0,923130891;0,997236227;1,051028621;1,10672186;1,190229142;1,218215696
70;76;1,100374007;0,083180456;0,943378056;0,967221186;1,043186059;1,098278768;1,155278187;1,240674083;1,269276168
71;77;1,103066043;0,083146731;0,946116367;0,969956523;1,045904195;1,100977608;1,157951538;1,243299609;1,271883272
72;78;1,250796533;0,088005737;1,084246041;1,109644766;1,190366442;1,248733119;1,308977503;1,398986966;1,429072502
73;79;1,245357296;0,086979526;1,080705298;1,105824694;1,185639246;1,243332911;1,302868763;1,391795425;1,421512996
74;80;1,177766314;0,083280655;1,020186379;1,044210482;1,120575955;1,175803953;1,232817703;1,318016104;1,34649748
75;81;1,130641245;0,079948409;0,979366436;1,002429281;1,0757392;1,128757402;1,183489904;1,265279326;1,292621098
76;82;1,120894003;0,078096386;0,973044906;0,995603847;1,067277082;1,119080781;1,172534507;1,252369371;1,279046855
77;83;0,988191593;0,072263726;0,851626925;0,872407551;0,938538156;0,98643067;1,035925643;1,109982463;1,134762764
78;84;0,941322736;0,069775483;0,809527989;0,829567015;0,893367633;0,939599264;0,98739928;1,058957537;1,08291115
