mun_id;municipio_resid;data;Mean;0.05 quantile;Median;0.95 quantile
3503270;ARARAQUARA;22/06/2021;1,004345773;0,919582233;1,003431216;1,092228988
3503271;ARARAQUARA;23/06/2021;0,859391732;0,78144788;0,858485371;0,940427312
3503272;ARARAQUARA;24/06/2021;0,816698032;0,74009049;0,815775395;0,896452823
3503273;ARARAQUARA;25/06/2021;0,90904887;0,826728758;0,908093162;0,994629041
3503274;ARARAQUARA;26/06/2021;0,883417103;0,801229975;0,882435723;0,968951863
3503275;ARARAQUARA;27/06/2021;0,886663986;0,80349353;0,885662308;0,973251316
3503276;ARARAQUARA;28/06/2021;0,981619423;0,893000964;0,980593888;1,073736127
3503277;ARARAQUARA;29/06/2021;1,182787642;1,084785585;1,181750271;1,284328311
3503278;ARARAQUARA;30/06/2021;1,262290045;1,162008911;1,261273854;1,366037537
3503279;ARARAQUARA;01/07/2021;1,407241097;1,303600559;1,406270036;1,514194047
3503280;ARARAQUARA;02/07/2021;1,230571494;1,136836111;1,2296621;1,327408932
3503281;ARARAQUARA;03/07/2021;1,132413672;1,045004484;1,131553945;1,222755499
3503282;ARARAQUARA;05/07/2021;1,221746902;1,132222216;1,220912477;1,314117915
3503283;ARARAQUARA;06/07/2021;1,151676321;1,066246551;1,150869926;1,239856807
3503284;ARARAQUARA;07/07/2021;1,017010628;0,938155382;1,016231415;1,098523865
3503285;ARARAQUARA;08/07/2021;0,963316593;0,887057925;0,962546665;1,042201584
3503286;ARARAQUARA;09/07/2021;0,798591149;0,729112586;0,797817453;0,870708893
3503287;ARARAQUARA;10/07/2021;0,716263071;0,649626819;0,715467381;0,78561354
3503288;ARARAQUARA;11/07/2021;0,674809025;0,60846867;0,673969896;0,744011776
3503289;ARARAQUARA;12/07/2021;0,628612794;0,562581006;0,627717562;0,697698366
3503290;ARARAQUARA;13/07/2021;0,584291576;0,518354562;0,583327682;0,653516602
3503291;ARARAQUARA;14/07/2021;0,563099289;0,495704674;0,562051035;0,634069693
3503292;ARARAQUARA;15/07/2021;0,530540824;0,462232046;0,52939291;0,602765368
3503293;ARARAQUARA;16/07/2021;0,671807585;0,590961914;0,670542835;0,756967555
3503294;ARARAQUARA;17/07/2021;0,741542155;0,653030593;0,740169382;0,8347365
3503295;ARARAQUARA;18/07/2021;0,781080687;0,687596939;0,779626643;0,879524449
3505906;BATATAIS;14/04/2021;1,663679486;1,346308623;1,65553134;2,008846505
3505906;BATATAIS;15/04/2021;1,237671815;0,983028979;1,230566072;1,516555125
3505906;BATATAIS;16/04/2021;1,281069912;1,029533872;1,274403886;1,555346188
3505906;BATATAIS;17/04/2021;1,362240637;1,10766586;1,355850507;1,638614298
3505906;BATATAIS;18/04/2021;1,031028156;0,817145085;1,02500506;1,265458399
3505906;BATATAIS;19/04/2021;1,232203318;1,000367229;1,226340677;1,484038869
3505906;BATATAIS;20/04/2021;1,341717157;1,101986038;1,3359877;1,600993254
3505906;BATATAIS;21/04/2021;1,236607744;1,012897151;1,231188275;1,478805879
3505906;BATATAIS;22/04/2021;1,269370397;1,04792725;1,264214101;1,508403233
3505906;BATATAIS;23/04/2021;1,243592408;1,029134972;1,238661014;1,474872297
3505906;BATATAIS;24/04/2021;1,018454558;0,829391776;1,013743391;1,223588699
3505906;BATATAIS;25/04/2021;1,000929033;0,815119636;0,996298936;1,202533234
3505906;BATATAIS;26/04/2021;1,05986575;0,868128963;1,055220858;1,267447749
3505906;BATATAIS;27/04/2021;1,013268747;0,826402536;1,008645724;1,215905613
