Data;Município1;DATA_DIA;DIA;STR_DATA;UF1;Escala de cor;Número de registros;Índice De Isolamento
sexta-feira, 07/05;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (7/5/2021);SP;Até 40%;1;39%
sábado, 08/05;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (8/5/2021);SP;>40-50%;1;42%
domingo, 09/05;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (9/5/2021);SP;>40-50%;1;46%
segunda-feira, 10/05;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (10/5/2021);SP;>40-50%;1;40%
terça-feira, 11/05;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (11/5/2021);SP;>40-50%;1;40%
quarta-feira, 12/05;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (12/5/2021);SP;>40-50%;1;40%
quinta-feira, 13/05;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (13/5/2021);SP;>40-50%;1;40%
sexta-feira, 14/05;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (14/5/2021);SP;Até 40%;1;40%
sábado, 15/05;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (15/5/2021);SP;>40-50%;1;43%
domingo, 16/05;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (16/5/2021);SP;>40-50%;1;48%
segunda-feira, 17/05;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (17/5/2021);SP;>40-50%;1;40%
terça-feira, 18/05;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (18/5/2021);SP;>40-50%;1;41%
quarta-feira, 19/05;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (19/5/2021);SP;>40-50%;1;40%
quinta-feira, 20/05;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (20/5/2021);SP;>40-50%;1;40%
sexta-feira, 21/05;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (21/5/2021);SP;Até 40%;1;40%
sábado, 22/05;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (22/5/2021);SP;>40-50%;1;43%
domingo, 23/05;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (23/5/2021);SP;>40-50%;1;48%
segunda-feira, 24/05;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (24/5/2021);SP;>40-50%;1;41%
terça-feira, 25/05;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (25/5/2021);SP;>40-50%;1;41%
quarta-feira, 26/05;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (26/5/2021);SP;>40-50%;1;40%
quinta-feira, 27/05;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (27/5/2021);SP;>40-50%;1;40%
sexta-feira, 28/05;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (28/5/2021);SP;Até 40%;1;40%
sábado, 29/05;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (29/5/2021);SP;>40-50%;1;42%
domingo, 30/05;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (30/5/2021);SP;>40-50%;1;48%
segunda-feira, 31/05;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (31/5/2021);SP;>40-50%;1;41%
terça-feira, 01/06;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (1/6/2021);SP;>40-50%;1;42%
quarta-feira, 02/06;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (2/6/2021);SP;>40-50%;1;41%
quinta-feira, 03/06;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (3/6/2021);SP;>40-50%;1;47%
sexta-feira, 04/06;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (4/6/2021);SP;Até 40%;1;40%
sábado, 05/06;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (5/6/2021);SP;>40-50%;1;42%
domingo, 06/06;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (6/6/2021);SP;>40-50%;1;47%
segunda-feira, 07/06;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (7/6/2021);SP;Até 40%;1;40%
domingo, 13/06;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (13/6/2021);SP;>40-50%;1;47%
segunda-feira, 14/06;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (14/6/2021);SP;Até 40%;1;40%
