Data;Município1;DATA_DIA;DIA;STR_DATA;UF1;Escala de cor;Número de registros;Índice De Isolamento
terça-feira, 08/12;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (8/12/2020);SP;>40-50%;1;41%
quarta-feira, 09/12;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (9/12/2020);SP;Até 40%;1;39%
quinta-feira, 10/12;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (10/12/2020);SP;>40-50%;1;40%
sexta-feira, 11/12;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (11/12/2020);SP;Até 40%;1;40%
sábado, 12/12;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (12/12/2020);SP;>40-50%;1;41%
domingo, 13/12;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (13/12/2020);SP;>40-50%;1;45%
segunda-feira, 14/12;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (14/12/2020);SP;>40-50%;1;40%
terça-feira, 15/12;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (15/12/2020);SP;>40-50%;1;40%
quarta-feira, 16/12;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (16/12/2020);SP;>40-50%;1;40%
quinta-feira, 17/12;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (17/12/2020);SP;Até 40%;1;40%
sexta-feira, 18/12;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (18/12/2020);SP;Até 40%;1;39%
sábado, 19/12;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (19/12/2020);SP;>40-50%;1;41%
domingo, 20/12;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (20/12/2020);SP;>40-50%;1;45%
