t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
47;53;213,4331203;28,5212004;161,2250854;168,7844023;193,5669298;212,1640382;231,916436;262,4111884;272,8516051
48;54;52,58839004;6,733253381;40,22595145;42,02448872;47,90400514;52,30130263;56,95993482;64,13165472;66,58198252
49;55;9,407947575;1,101116977;7,374329097;7,672941414;8,643717759;9,365023957;10,12540038;11,28938033;11,68545498
50;56;4,460550422;0,480993522;3,567864576;3,699951438;4,127396957;4,44327343;4,774874956;5,280086279;5,451405491
51;57;3,000826461;0,303129249;2,436215974;2,520228358;2,791189681;2,990625764;3,19934587;3,516221873;3,623399168
52;58;2,109416791;0,213083274;1,712526515;1,771582624;1,962053606;2,102246258;2,248965072;2,471711562;2,547051335
53;59;1,736834802;0,170310664;1,419119892;1,466509219;1,619131082;1,731271207;1,848474877;2,026139239;2,086163308
54;60;0,796179502;0,105456551;0,60301858;0,631014937;0,722743073;0,791528353;0,864547698;0,977210983;1,015766619
55;61;0,721340457;0,094716642;0,547744052;0,572929402;0,655399073;0,717199085;0,782769065;0,883879357;0,918466778
56;62;0,668630353;0,090158098;0,503703887;0,527559243;0,6058154;0,664582443;0,727034473;0,823510538;0,856555435
57;63;0,675539927;0,092792545;0,506025762;0,530491701;0,610855024;0,671296031;0,735600515;0,835065865;0,869166007
58;64;0,715976132;0,099288025;0,534725221;0,560855544;0,646744111;0,711391809;0,780212939;0,886735806;0,923272996
59;65;0,943049917;0,118813122;0,724665449;0,75649212;0,860427013;0,938064955;1,020240623;1,146613249;1,18975779
60;66;0,9183238;0,121634959;0,695529478;0,727820841;0,833621267;0,912959104;0,997180567;1,127127867;1,171598439
61;67;0,99075163;0,128984876;0,754206045;0,788556748;0,900974273;0,98515982;1,074435653;1,212022337;1,259068157
62;68;1,078386746;0,135863959;0,828661985;0,865056093;0,983906653;1,072686394;1,166655069;1,311163395;1,360499597
63;69;1,034532233;0,133557537;0,789457081;0,825079432;0,941593859;1,028790543;1,121213909;1,263572131;1,31223002
64;70;0,994726994;0,130614053;0,755337911;0,790068458;0,903793962;0,98901605;1,079436917;1,218867799;1,266563782
65;71;0,970345021;0,128525338;0,734929843;0,769050448;0,880844257;0,964676426;1,053668867;1,190977424;1,237967165
66;72;1,020908289;0,131798693;0,779060577;0,814213811;0,929193837;1,015242212;1,106448439;1,246931919;1,294949023
67;73;1,163547785;0,141100895;0,903540383;0,941584259;1,065526243;1,157849117;1,25535922;1,404951447;1,455934196
68;74;1,147440209;0,140182133;0,889250401;0,926999678;1,050037822;1,141736628;1,238627167;1,387337656;1,438036848
69;75;1,279399008;0,146757131;1,008020902;1,04794719;1,17759454;1,273792006;1,375093036;1,529978106;1,582635923
70;76;1,372804178;0,149785216;1,095002376;1,13606418;1,269027997;1,367360402;1,470647624;1,628114515;1,681537832
71;77;1,34458577;0,144990412;1,075495059;1,115311247;1,24416018;1,339377804;1,439335578;1,59162619;1,643268556
72;78;1,39837212;0,143469952;1,131366551;1,171044737;1,299116336;1,393468624;1,492283802;1,642426669;1,693240133
73;79;1,406448916;0,139259194;1,146791009;1,185490542;1,310184311;1,401855358;1,49770712;1,643077114;1,69220839
74;80;1,274539753;0,128096065;1,035883019;1,071409298;1,185961898;1,270250952;1,358443387;1,492300449;1,537566268
75;81;1,116779898;0,115804681;0,901385511;0,933365247;1,03664377;1,112779663;1,192556371;1,313840458;1,354904187
76;82;1,044256555;0,108871272;0,841818168;0,871860447;0,968908778;1,040475463;1,115483522;1,229551021;1,268179608
77;83;1,208649541;0,115240212;0,99336293;1,025545288;1,129054892;1,204988946;1,284254534;1,404240989;1,444736611
78;84;1,243472964;0,115954452;1,026614461;1,059086923;1,163423431;1,239870557;1,319596224;1,44014768;1,480801387
79;85;1,232774533;0,113970046;1,019538127;1,051488903;1,154109402;1,22926414;1,307613664;1,426034953;1,465958056
