t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
47;53;1,195807035;0,036320052;1,125671577;1,136699561;1,171113228;1,19543934;1,220100016;1,256168752;1,268032044
48;54;1,09832388;0,033782589;1,033100832;1,043353447;1,075353013;1,097977534;1,120917194;1,154475734;1,165515158
49;55;1,034811942;0,03207274;0,972897281;0,982628129;1,013002392;1,034480609;1,056260305;1,088125966;1,098609518
50;56;0,979961788;0,030789626;0,920536652;0,929873266;0,95902248;0,979639344;1,0005496;1,031150196;1,041219318
51;57;1,029812236;0,031365244;0,969247244;0,978769784;1,008486716;1,029493821;1,050790651;1,081940837;1,092186736
52;58;1,022026302;0,031215096;0,961753782;0,971229735;1,000802406;1,021708525;1,042903789;1,073906838;1,084104699
53;59;0,959949069;0,030250563;0,901567054;0,910739137;0,939375874;0,959631329;0,980175895;1,010242845;1,020136751
54;60;1,091043212;0,032215156;1,028808384;1,03860026;1,069145052;1,090726157;1,112595749;1,144567672;1,155079819
55;61;1,170840029;0,033370947;1,106339647;1,116495731;1,148162194;1,170523001;1,19317227;1,226265741;1,237142035
56;62;1,186757389;0,033499635;1,121999498;1,132198207;1,163993705;1,186442196;1,20917748;1,242391726;1,253306478
57;63;1,241161017;0,033905935;1,1755882;1,185922241;1,218126639;1,240852285;1,263858844;1,297452913;1,308488322
58;64;1,08800246;0,031239169;1,027628742;1,03713356;1,066772165;1,087703491;1,108906848;1,139891176;1,150075179
59;65;1,150466123;0,031522578;1,0895051;1,099111754;1,129050453;1,150178231;1,17156796;1,202802519;1,213063195
60;66;1,164706031;0,031228618;1,104295951;1,113819939;1,143493281;1,164426938;1,18561454;1,216544139;1,226702162
61;67;1,023480316;0,028913719;0,967588048;0,976390364;1,003832741;1,023208054;1,042831096;1,07149898;1,080919809
62;68;1,025982554;0,028587886;0,970709574;0,979416863;1,006558321;1,025717042;1,04511735;1,07345393;1,082764397
63;69;1,231241086;0,031044076;1,171140544;1,180626978;1,21016239;1,230980185;1,252035372;1,282745156;1,292824299
64;70;1,201673211;0,03052253;1,142587805;1,151912719;1,180947642;1,201414796;1,222117079;1,25231518;1,262227153
65;71;1,269463472;0,031045744;1,209337218;1,21883304;1,248387773;1,269210398;1,290263292;1,320957163;1,331027913
66;72;1,280291725;0,030631092;1,220952996;1,230328126;1,259500373;1,280047449;1,300816789;1,331088572;1,341018642
67;73;1,245319437;0,029558445;1,188053296;1,197102239;1,225257146;1,245085582;1,265126799;1,294334336;1,303914546
68;74;1,223221205;0,028602115;1,167798202;1,176558187;1,203809783;1,222998281;1,242389615;1,270644636;1,279911055
69;75;1,170917784;0,027341777;1,117936136;1,126310446;1,152361871;1,170704974;1,189241711;1,216251038;1,225108805
70;76;1,207582068;0,027193381;1,154866374;1,163203772;1,189130848;1,207377953;1,225810779;1,252656621;1,261457725
71;77;1,205337629;0,026686624;1,153594664;1,161780505;1,187232032;1,205140684;1,223228532;1,24956655;1,258199808
72;78;1,336322828;0,027625075;1,282721588;1,291210599;1,317587692;1,336132473;1,354850456;1,382084374;1,391005831
73;79;1,393720761;0,027697714;1,33995746;1,348477151;1,374940273;1,393537285;1,412301238;1,439590227;1,44852674
74;80;1,426707034;0,027365921;1,373569702;1,381994488;1,408154868;1,426532068;1,445068466;1,472016407;1,480838681
75;81;1,337748465;0,02570218;1,287842456;1,295754739;1,320324053;1,337583863;1,35499344;1,380303663;1,388589887
